epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.74,2.24059,4.32384,1.97157,0.58899,0.32756,0.53143,0.18798,2.04708,3.43102,1.96366,0.000367247,0.000367247,0.000367247
2,57.7839,1.81155,2.61579,1.62593,0.72903,0.76155,0.74931,0.34923,1.75372,1.47528,1.71453,0.000722976,0.000722976,0.000722976
3,85.2716,1.69818,1.96463,1.56692,0.80047,0.7391,0.80429,0.4303,1.64125,1.41112,1.69511,0.00106404,0.00106404,0.00106404
4,112.486,1.60444,1.59573,1.52656,0.79983,0.84433,0.85836,0.46177,1.56657,1.1048,1.64473,0.00104501,0.00104501,0.00104501
5,139.76,1.53046,1.35732,1.4771,0.91835,0.89463,0.93623,0.53703,1.46757,0.9662,1.55184,0.00102301,0.00102301,0.00102301
6,167.004,1.41963,1.19095,1.41245,0.89593,0.89751,0.94632,0.56981,1.35611,0.90727,1.47497,0.00100101,0.00100101,0.00100101
7,194.228,1.37583,1.09351,1.3866,0.88449,0.89788,0.93692,0.56925,1.36943,0.92209,1.47145,0.000979013,0.000979013,0.000979013
8,221.39,1.34696,0.99468,1.35372,0.90421,0.88953,0.94032,0.58958,1.34083,0.95513,1.45754,0.000957015,0.000957015,0.000957015
9,248.625,1.26952,0.9329,1.31361,0.96896,0.96849,0.99121,0.6672,1.16894,0.69109,1.3375,0.000935018,0.000935018,0.000935018
10,275.896,1.25242,0.88923,1.29963,0.97552,0.97633,0.98952,0.68869,1.11589,0.61757,1.29735,0.00091302,0.00091302,0.00091302
11,303.365,1.20197,0.83336,1.28255,0.94553,0.94916,0.96672,0.67945,1.12424,0.67202,1.29487,0.000891022,0.000891022,0.000891022
12,330.547,1.16113,0.80088,1.2557,0.9787,0.96155,0.99044,0.70312,1.09712,0.59451,1.28108,0.000869024,0.000869024,0.000869024
13,357.811,1.14703,0.79607,1.23563,0.97086,0.98146,0.98988,0.71942,1.02733,0.56602,1.24704,0.000847026,0.000847026,0.000847026
14,385.311,1.14944,0.75996,1.24186,0.97934,0.97932,0.99252,0.65954,1.17407,0.6114,1.33992,0.000825029,0.000825029,0.000825029
15,412.491,1.10224,0.72854,1.2103,0.9875,0.98136,0.99254,0.72789,1.00001,0.566,1.22079,0.000803031,0.000803031,0.000803031
16,439.638,1.08833,0.71669,1.19933,0.98492,0.97222,0.99207,0.72646,1.0139,0.52999,1.22247,0.000781033,0.000781033,0.000781033
17,466.8,1.05765,0.6813,1.1903,0.98916,0.98656,0.99438,0.7641,0.91064,0.51967,1.17251,0.000759035,0.000759035,0.000759035
18,493.982,1.02778,0.67618,1.17253,0.99243,0.98369,0.99361,0.75665,0.93391,0.49353,1.17838,0.000737037,0.000737037,0.000737037
19,521.179,1.00644,0.64027,1.14524,0.99397,0.99087,0.99478,0.77089,0.8906,0.4689,1.14784,0.00071504,0.00071504,0.00071504
20,548.354,1.0041,0.65326,1.14577,0.98961,0.9899,0.99437,0.78196,0.86129,0.46109,1.1214,0.000693042,0.000693042,0.000693042
