epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3188,2.34445,4.54141,2.07205,0.68608,0.29246,0.34589,0.19285,2.14333,3.80041,2.0106,0.000367247,0.000367247,0.000367247
2,45.365,1.9284,2.89616,1.73233,0.92432,0.33476,0.34316,0.19213,2.35965,2.60307,2.13527,0.000722976,0.000722976,0.000722976
3,66.2385,1.74921,2.26768,1.6647,0.67592,0.46554,0.4477,0.22493,2.03615,2.16652,2.16601,0.00106404,0.00106404,0.00106404
4,87.0912,1.69814,1.91809,1.62418,0.81014,0.50847,0.4946,0.26656,1.95087,1.9837,1.87157,0.00104501,0.00104501,0.00104501
5,107.953,1.59822,1.64738,1.57482,0.94225,0.53664,0.5535,0.26667,2.08363,2.07366,2.00551,0.00102301,0.00102301,0.00102301
6,128.843,1.50322,1.45011,1.50484,0.51566,0.57789,0.5777,0.33296,1.7119,1.86852,1.76318,0.00100101,0.00100101,0.00100101
7,149.701,1.44156,1.33572,1.45293,0.54083,0.55542,0.5792,0.3417,1.78264,1.7703,1.84171,0.000979013,0.000979013,0.000979013
8,170.541,1.358,1.20836,1.40668,0.57981,0.58359,0.60379,0.31619,1.78834,1.87365,1.81428,0.000957015,0.000957015,0.000957015
9,191.461,1.34244,1.1778,1.3837,0.59546,0.51786,0.58203,0.33563,1.81186,2.00332,1.89156,0.000935018,0.000935018,0.000935018
10,212.342,1.31205,1.11973,1.38868,0.95323,0.63992,0.64262,0.35956,1.87415,1.73257,1.90534,0.00091302,0.00091302,0.00091302
11,233.271,1.27418,1.08131,1.36512,0.58831,0.63505,0.61969,0.3662,1.738,1.85868,1.78369,0.000891022,0.000891022,0.000891022
12,254.189,1.22408,1.0144,1.33582,0.57811,0.5913,0.60889,0.35413,1.79427,1.65344,1.86252,0.000869024,0.000869024,0.000869024
13,275.131,1.20804,0.98424,1.31387,0.95386,0.65401,0.65389,0.44427,1.62021,1.59616,1.75077,0.000847026,0.000847026,0.000847026
14,296.08,1.1963,1.00954,1.31111,0.63194,0.64693,0.64815,0.38973,1.57876,1.76368,1.64672,0.000825029,0.000825029,0.000825029
15,317.185,1.14762,0.95383,1.2733,0.95771,0.62216,0.64199,0.43834,1.54558,1.57634,1.67827,0.000803031,0.000803031,0.000803031
16,338.221,1.09103,0.90914,1.23833,0.94978,0.62185,0.64891,0.42348,1.54961,1.51312,1.68218,0.000781033,0.000781033,0.000781033
17,359.262,1.11744,0.89664,1.26362,0.59156,0.59822,0.63379,0.38619,1.83705,1.66777,1.96699,0.000759035,0.000759035,0.000759035
18,380.262,1.09301,0.887,1.24592,0.60316,0.64462,0.64976,0.38076,1.75801,1.67245,1.85874,0.000737037,0.000737037,0.000737037
19,401.35,1.06172,0.86865,1.23045,0.6301,0.61454,0.64939,0.44522,1.54646,1.58543,1.70973,0.00071504,0.00071504,0.00071504
20,422.371,1.03536,0.82547,1.20617,0.63185,0.6151,0.64509,0.38824,1.72332,1.68478,1.76621,0.000693042,0.000693042,0.000693042
21,443.385,1.03149,0.8288,1.21927,0.68489,0.66192,0.66299,0.41467,1.68353,1.5522,1.84096,0.000671044,0.000671044,0.000671044
22,464.376,0.98272,0.76822,1.17196,0.63692,0.637,0.65351,0.43915,1.55157,1.5508,1.68627,0.000649046,0.000649046,0.000649046
23,485.425,0.9983,0.80922,1.19605,0.63444,0.63268,0.65537,0.46438,1.47557,1.5516,1.64369,0.000627048,0.000627048,0.000627048
24,506.434,0.98675,0.77023,1.17938,0.96192,0.65856,0.65901,0.43333,1.59562,1.51173,1.73255,0.000605051,0.000605051,0.000605051
25,527.456,0.95829,0.73929,1.15892,0.65237,0.65186,0.66437,0.47986,1.45088,1.56789,1.58766,0.000583053,0.000583053,0.000583053
26,548.445,0.96441,0.76963,1.17525,0.61493,0.6671,0.65592,0.44035,1.63049,1.50676,1.78593,0.000561055,0.000561055,0.000561055
27,569.466,0.92304,0.74528,1.15001,0.64128,0.65054,0.6609,0.47217,1.4647,1.59859,1.58883,0.000539057,0.000539057,0.000539057
28,590.514,0.92795,0.73027,1.1541,0.63008,0.66753,0.65763,0.47187,1.51132,1.5523,1.61885,0.000517059,0.000517059,0.000517059
29,611.748,0.90462,0.70613,1.13952,0.63521,0.63666,0.65577,0.46937,1.44989,1.55077,1.64098,0.000495062,0.000495062,0.000495062
30,632.725,0.89994,0.69514,1.13085,0.64314,0.65141,0.65906,0.44117,1.58816,1.56436,1.72299,0.000473064,0.000473064,0.000473064
