epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1274,2.32203,4.4731,2.0209,0.60304,0.45298,0.40516,0.195,1.98203,3.08156,1.84353,0.00036757,0.00036757,0.00036757
2,65.7415,1.88695,2.84341,1.65217,0.74843,0.56995,0.55976,0.27343,1.95872,2.08667,1.76889,0.000723293,0.000723293,0.000723293
3,96.648,1.76737,2.19257,1.62429,0.76543,0.55428,0.60683,0.30259,1.85161,1.86832,1.82382,0.00106435,0.00106435,0.00106435
4,127.381,1.64987,1.84798,1.5625,0.82087,0.62587,0.68269,0.36291,1.69509,1.64543,1.68568,0.00104501,0.00104501,0.00104501
5,157.879,1.64573,1.64997,1.55227,0.77612,0.72972,0.7634,0.44672,1.59336,1.34404,1.61528,0.00102301,0.00102301,0.00102301
6,188.428,1.49448,1.40146,1.45393,0.95899,0.72128,0.77533,0.47048,1.44223,1.21008,1.52129,0.00100101,0.00100101,0.00100101
7,218.903,1.43514,1.295,1.41737,0.94951,0.7292,0.78504,0.50922,1.37805,1.16972,1.4996,0.000979013,0.000979013,0.000979013
8,249.3,1.39075,1.24349,1.39329,0.96867,0.76196,0.80893,0.539,1.30423,1.11296,1.44038,0.000957015,0.000957015,0.000957015
9,280.114,1.3473,1.18405,1.36387,0.97532,0.7749,0.8135,0.55426,1.24974,1.01799,1.40411,0.000935018,0.000935018,0.000935018
10,311.022,1.322,1.13191,1.34891,0.91062,0.76279,0.80439,0.54571,1.26815,1.06972,1.40959,0.00091302,0.00091302,0.00091302
11,342.25,1.27947,1.09205,1.31743,0.95001,0.76029,0.80867,0.57108,1.18347,1.01897,1.37563,0.000891022,0.000891022,0.000891022
12,373.219,1.21945,1.01545,1.28284,0.88256,0.79184,0.81656,0.54253,1.30833,0.97842,1.40741,0.000869024,0.000869024,0.000869024
13,404.074,1.1962,1.00683,1.27492,0.81919,0.81995,0.8248,0.59452,1.13222,0.93547,1.31249,0.000847026,0.000847026,0.000847026
14,434.878,1.1771,0.95572,1.25529,0.81588,0.82221,0.83457,0.61048,1.09697,0.87694,1.28935,0.000825029,0.000825029,0.000825029
15,465.519,1.16887,0.9582,1.24844,0.84128,0.81729,0.82961,0.59853,1.14658,0.87615,1.32791,0.000803031,0.000803031,0.000803031
16,496.304,1.13423,0.93737,1.23206,0.85811,0.82601,0.83258,0.62185,1.06645,0.85843,1.24742,0.000781033,0.000781033,0.000781033
17,527.422,1.11268,0.88599,1.19983,0.86601,0.8227,0.83721,0.62574,1.06884,0.82603,1.2659,0.000759035,0.000759035,0.000759035
18,558.356,1.10736,0.88679,1.2024,0.88271,0.82718,0.84137,0.63708,1.02726,0.80607,1.23778,0.000737037,0.000737037,0.000737037
19,589.182,1.04959,0.85818,1.18513,0.84532,0.82204,0.83585,0.63065,1.05081,0.81818,1.25397,0.00071504,0.00071504,0.00071504
20,620.239,1.06486,0.86385,1.1866,0.8651,0.819,0.82951,0.63215,1.03481,0.81933,1.23425,0.000693042,0.000693042,0.000693042
21,650.946,1.02833,0.83893,1.15635,0.84229,0.84147,0.84516,0.64269,0.9924,0.76463,1.20428,0.000671044,0.000671044,0.000671044
22,681.689,1.01075,0.80479,1.15603,0.82983,0.84025,0.84435,0.61679,1.08167,0.77883,1.25731,0.000649046,0.000649046,0.000649046
23,712.352,0.97694,0.78916,1.1376,0.87904,0.84444,0.85179,0.67051,0.92322,0.71457,1.16184,0.000627048,0.000627048,0.000627048
24,743.046,0.96159,0.7638,1.12969,0.83623,0.85163,0.84919,0.6621,0.94746,0.71433,1.17093,0.000605051,0.000605051,0.000605051
25,773.779,0.97536,0.76573,1.12983,0.85673,0.85178,0.84987,0.67621,0.91082,0.71422,1.1579,0.000583053,0.000583053,0.000583053
26,804.501,0.93802,0.73788,1.11109,0.86707,0.85649,0.85659,0.67517,0.90752,0.69657,1.14985,0.000561055,0.000561055,0.000561055
27,835.092,0.95655,0.76089,1.11819,0.84764,0.84594,0.85231,0.68327,0.8783,0.69472,1.1387,0.000539057,0.000539057,0.000539057
28,865.785,0.9026,0.72499,1.09221,0.8456,0.86207,0.85398,0.7089,0.7954,0.65731,1.08898,0.000517059,0.000517059,0.000517059
29,896.486,0.90073,0.71289,1.09073,0.86329,0.86283,0.85977,0.71267,0.80163,0.64524,1.0985,0.000495062,0.000495062,0.000495062
30,927.283,0.89539,0.73307,1.09591,0.8632,0.85099,0.85381,0.70137,0.80864,0.64818,1.08887,0.000473064,0.000473064,0.000473064
31,957.98,0.87198,0.69518,1.08404,0.85614,0.86022,0.86213,0.7131,0.7818,0.62438,1.07972,0.000451066,0.000451066,0.000451066
32,988.742,0.85982,0.69357,1.07654,0.85779,0.88559,0.86617,0.72247,0.74759,0.60408,1.05592,0.000429068,0.000429068,0.000429068
33,1019.4,0.84582,0.6956,1.0712,0.8689,0.85899,0.86311,0.73071,0.72767,0.61027,1.05991,0.00040707,0.00040707,0.00040707
34,1050.1,0.83883,0.67424,1.0693,0.86236,0.881,0.8716,0.73421,0.72451,0.5861,1.04687,0.000385073,0.000385073,0.000385073
35,1080.8,0.83428,0.65099,1.05568,0.86982,0.87759,0.87276,0.74201,0.7143,0.57323,1.0418,0.000363075,0.000363075,0.000363075
36,1111.56,0.81441,0.65337,1.04393,0.87383,0.88531,0.87921,0.74352,0.70661,0.56211,1.0258,0.000341077,0.000341077,0.000341077
